event,call_index,j,tries,side,extra,dt
rr_cpp_ext,111,"-","-",proc,degU=10;degM=11,3e-05
rr_cpp,111,111,1,loop,Ratrecon1_total,0.000301
rr_map,111,111,1,loop,Maple_Ratrecon,0.000131
rr_cpp_ext,112,"-","-",proc,degU=10;degM=11,3.4e-05
rr_cpp,112,112,1,loop,Ratrecon1_total,0.000339
rr_map,112,112,1,loop,Maple_Ratrecon,0.000116
rr_cpp_ext,113,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,113,113,1,loop,Ratrecon1_total,0.000368
rr_map,113,113,1,loop,Maple_Ratrecon,0.000122
rr_cpp_ext,114,"-","-",proc,degU=10;degM=11,3.5e-05
rr_cpp,114,114,1,loop,Ratrecon1_total,0.000325
rr_map,114,114,1,loop,Maple_Ratrecon,0.000116
rr_cpp_ext,115,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,115,115,1,loop,Ratrecon1_total,0.00034
rr_map,115,115,1,loop,Maple_Ratrecon,0.000122
rr_cpp_ext,116,"-","-",proc,degU=10;degM=11,3.7e-05
rr_cpp,116,116,1,loop,Ratrecon1_total,0.000347
rr_map,116,116,1,loop,Maple_Ratrecon,0.000121
rr_cpp_ext,117,"-","-",proc,degU=10;degM=11,3.3e-05
rr_cpp,117,117,1,loop,Ratrecon1_total,0.000515
rr_map,117,117,1,loop,Maple_Ratrecon,0.000164
rr_cpp_ext,118,"-","-",proc,degU=10;degM=11,3.2e-05
rr_cpp,118,118,1,loop,Ratrecon1_total,0.000315
rr_map,118,118,1,loop,Maple_Ratrecon,0.000105
rr_cpp_ext,119,"-","-",proc,degU=10;degM=11,2.7e-05
rr_cpp,119,119,1,loop,Ratrecon1_total,0.000259
rr_map,119,119,1,loop,Maple_Ratrecon,0.000132
rr_cpp_ext,120,"-","-",proc,degU=10;degM=11,7.3e-05
rr_cpp,120,120,1,loop,Ratrecon1_total,0.000411
rr_map,120,120,1,loop,Maple_Ratrecon,0.000127
rr_cpp_ext,121,"-","-",proc,degU=10;degM=11,3.9e-05
rr_cpp,121,121,1,loop,Ratrecon1_total,0.000425
rr_map,121,121,1,loop,Maple_Ratrecon,0.000121
rr_cpp_ext,122,"-","-",proc,degU=10;degM=11,4.3e-05
rr_cpp,122,122,1,loop,Ratrecon1_total,0.000371
rr_map,122,122,1,loop,Maple_Ratrecon,0.000107
rr_cpp_ext,123,"-","-",proc,degU=10;degM=11,3.5e-05
